Date,Time,Duration
8/10/2022,16:27,3
8/16/2022,16:55,2
8/23/2022,17:00,1
8/25/2022,16:48,1
8/27/2022,16:56,1
8/28/2022,16:45,2
8/30/2022,16:52,1
9/13/2022,4:30,2.5
9/19/2022,4:52,4
9/19/2022,17:08,4
9/20/2022,4:44,2
9/21/2022,16:15,1
9/22/2022,4:36,1
